,zip,price,Available as of,Available date,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office,Professional space surface,Basement,Furnished,TV cable,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water & electricity",Terrace surface,Elevator,Accessible for disabled people,Intercom,Visio phone,Swimming pool,Primary energy consumption,Energy class,,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,Neighbourhood or locality,Office surface,Covered parking spaces,Outdoor parking spaces,Garden surface,Living room,Dressing room,Garden orientation,Caretaker,Secure access / alarm,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Attic,Basement surface,Terrace,External reference,Attic surface,How many fireplaces?,As built plan,Bedroom 5 surface,Thermic solar panels,Garden,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Common water heater,Type of building,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,E-level (overall energy performance),Property name,Number of floors,Monthly charges,Floor,Percentage rented,Current monthly revenue
0,4020,Make,Depending on the tenant,December 30 2022 - 12:00 AM,1930,To be done up,7 m,2,Urban,,235,17,Yes,Not installed,13,4,17,17,15,12,4,4,4,Yes,113,Yes,No,Yes,155,,Not connected,Yes,40,No,No,Yes,Yes,No,305,D,20200525009229,57 kg CO₂/m²,15369 kWh/year,Gas,Yes,122,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,Rue de la Wallonie 2A,,4735009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1030,"€370,000",To be defined,October 1 2022 - 12:00 AM,1927,Good,5.33 m,2,Isolated,,118,28,Yes,Hyper equipped,1,3,18,18,8,,2,1,1,Yes,,Yes,No,,82,,Connected,Yes,8,No,No,Yes,Yes,No,595,G,20220528-0000613600-01-6,119 kg CO₂/m²,Not specified,Gas,,,,,,,,,,No,"Avenue des Cerisiers, 212",,4765652,Bruxelles Est,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1082,"€455,000",After signing the deed,,2000,As new,5 m,2,Isolated,,175,22,,USA hyper equipped,26,3,16,14,16,,1,1,2,,,,No,Yes,140,,Connected,Yes,15,No,No,Yes,,No,203,D,Not specified,40 kg CO₂/m²,Not specified,Gas,Yes,55,No,No,No,"Living area (residential, urban or rural)",,,,No,Place Communale 8,,4748027,Bruxelles,,1,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8000,"€640,000",After signing the deed,,2022,Just renovated,5.3 m,2,Urban,,205,,,Hyper equipped,,3,,,,,3,,3,No,,,No,Yes,126,,,,,No,No,Yes,No,No,139,B,2513985,Not specified,Not specified,No,No,Yes,,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,Yes,Noordzandstraat 66,,spir1121,,,,,18,Yes,No,South,No,No,Gas,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4020,Make,To be defined,March 1 2023 - 12:00 AM,1919,To be done up,9 m,2,"Living area (residential, urban or rural)",,159,37,,Semi equipped,17,4,18,17,14,13,2,2,2,Yes,,Yes,No,Yes,417,,Connected,Yes,48,No,No,Yes,,No,504,F,20220515005453,126 kg CO₂/m²,65826 kWh/year,Gas,Yes,190,No,No,No,Non flood zone,Residential park,,,No,Rue de la Wallonie 2A,,4746929,,,1,,251,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5561,"€370,000",To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,,No,No,,,,,No,Rue De Bouillon 59,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6800,"€370,000",Immediately,May 21 2022 - 12:00 AM,2004,As new,13.99 m,4,Countryside,,419,2,,Installed,8,2,17,18,,,2,2,4,Yes,80,,No,,1247,,,No,,No,No,Yes,,No,432,F,20210615005550,123 kg CO₂/m²,30734 kWh/year,Electric,Yes,Yes,Yes,No,No,Non flood zone,,,,Yes,Avenue de Bouillon 92,,4769916,Zone Centre Province du Luxembourg,96,,6,1247,,,,,Yes,,,155,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1601,"€399,000",After signing the deed,,1888,Good,7 m,2,Urban,,201,,Yes,Installed,8,4,16,15,11,29,2,2,3,,,,No,Yes,293,,Connected,No,85,No,No,Yes,,No,295,C,Not specified,Not specified,Not specified,Gas,Yes,115,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,Place Communale 8,,4756998,,,1,1,178,Yes,,,,Yes,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1702,"€524,500",,October 1 2022 - 12:00 AM,1956,As new,8.15 m,4,Isolated,,197,30,,Hyper equipped,11,3,24,9,6,,1,,2,,,,,Yes,525,,Connected,Yes,,No,No,,,No,434,E,2586246,Not specified,Not specified,Gas,Yes,Yes,,No,No,Non flood zone,,,,No,Astridlaan 1,,4733283,,,1,2,,,,,,,,,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1933,Make,At delivery,January 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,B,Not specified,Not specified,,,,,,,Non flood zone,,,,No,Chaussée de Waterloo 1382,,Projets Bruxelles Est,,,,,,,,,,,,,,,,,4769090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6800,"€159,900",Depending on the tenant,,1998,To renovate,7.5 m,3,"Living area (residential, urban or rural)",,60,15,,Not installed,8,1,11,,,,1,,1,,,,No,Yes,158,,Connected,No,10,No,No,,,No,470,F,20220420022685,116 kg CO₂/m²,24684 kWh/year,Fuel oil,Yes,58,Non flood zone,,,,"Living area (residential, urban or rural)",,,No,Avenue de Bouillon 92,,4747546,Zone Centre Province du Luxembourg,,2,1,60,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7912,"€306,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,,,,,,,,No,Porte d'Ogy 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1325,"€950,000",After signing the deed,October 1 2022 - 12:00 AM,1989,As new,17 m,4,"Living area (residential, urban or rural)",,358,60,,Installed,,4,37,17,16,12,1,2,4,Yes,,Yes,No,,2785,,,Yes,100,,,,,Yes,274,D,20220525019713,Not specified,88792 kWh/year,No,Yes,,,,,,,,,No,Chaussee de Charleroi 59 B,,154 - 93363906,,55,2,3,2785,,,South,,,,,,,,,,,,2,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9551,Make,After signing the deed,August 1 2022 - 12:00 AM,2013,As new,18 m,4,Isolated,,430,45,,Hyper equipped,39,6,25,18,17,15,3,,3,,,,No,Yes,1154,,Connected,Yes,40,No,No,,Yes,Yes,93,A,20220306-0002557739-RES-1,Not specified,Not specified,No,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,Sint-Denijslaan 1,,4783895,Oost-Vlaanderen,,1,6,700,,,,,Yes,,,Yes,,Yes,,,,,,Gas,14,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4218,Make,After signing the deed,,1934,As new,10 m,3,Countryside,,180,24,Yes,USA hyper equipped,23,4,11,15,24,14,1,,2,Yes,15,,No,,1458,,,No,35,,,,,,315,D,20180708003002,76 kg CO₂/m²,57522 kWh/year,Fuel oil,Yes,,,"Living area (residential, urban or rural)",,,,,,No,Chaussée Napoléon 3,,4773268,,15,,4,1100,,,,,,,,No,,,38,,,26,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1450,Make,After signing the deed,,1985,Good,28 m,4,Isolated,,210,25,,Semi equipped,26,4,18,16,13,20,2,2,3,Yes,,,No,Yes,2364,,Connected,No,105,No,No,,,Yes,356,E,20220401004714,88 kg CO₂/m²,93262 kWh/year,Electric,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,Avenue Fond Jean Rosy 17A,,4706657,Brabant Wallon,20,1,7,2180,,,,,Yes,,,185,,,,,,12,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4031,Make,After signing the deed,June 1 2022 - 12:00 AM,1875,Good,,2,Urban,,180,19,Yes,Not installed,18,5,19,18,20,20,2,2,2,,,,No,,210,,Connected,Yes,100,,,,,,591,G,20220525023147,183 kg CO₂/m²,128855 kWh/year,Gas,54,,No,"Living area (residential, urban or rural)",,,,,,No,Chaussée Napoléon 3,,4764430,,,,,20,,,,,,,,,,,55,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9600,"€199,000",After signing the deed,October 1 2022 - 12:00 AM,1919,Just renovated,4.5 m,2,"Living area (residential, urban or rural)",,130,35,,Hyper equipped,14,2,16,14,,,1,,1,,,,,Yes,368,,Connected,Yes,20,No,No,,,No,313,D,20220531-0002613797-RES-1,2390 kg CO₂/m²,Not specified,Pellet,75,,Non flood zone,,,,,,No,,Stationstraat 30,4783208,,,,,3,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4570,Make,,June 1 2023 - 12:00 AM,1880,To be done up,,3,,,130,30,,Semi equipped,,3,,,,,2,,2,,,Yes,No,,607,,,Yes,,,,,,,326,D,20220601018183,Not specified,58648 kWh/year,No,Yes,,,,,,,,,No,"Rue des Brasseurs (Grand' Place), 1",,15536 - 111114547,,,1,,,,,South,,,,,,,,,Yes,,,,Fuel oil,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1070,"€249,000",Immediately,June 1 2022 - 12:00 AM,1930,To renovate,4 m,2,Urban,,129,,Yes,Not installed,16,3,15,16,14,,1,1,1,Yes,,,No,Yes,180,,Connected,Yes,,No,No,,,No,400,G,Not specified,80 kg CO₂/m²,Not specified,Gas,Yes,82,,,,,,,No,,Place Communale 8,,4786227,Bruxelles,12,,,98,Yes,,,,,,,,,,21,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4610,"€279,000",After signing the deed,,1976,To be done up,,4,Isolated,,200,,,Hyper equipped,,3,10,14,20,,2,1,1,,,,No,Yes,872,,,No,35,No,No,,,No,422,E,20220403001418,120 kg CO₂/m²,128150 kWh/year,Electric,,,,,,,,,,No,Grand rue 191,,4772891,,,,3,300,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4870,"€349,000",To be defined,December 31 2022 - 12:00 AM,1975,As new,,4,Countryside,,150,45,,Installed,15,4,14,14,13,10,1,1,2,,,Yes,No,Yes,708,,,No,15,No,No,,,No,208,C,20220601008495,12 kg CO₂/m²,37218 kWh/year,Fuel oil,Yes,,,,,,,,,No,Grand rue 191,,4784721,"Trooz, Nessonvaux, Fraipont",,1,6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9170,"€369,000",After signing the deed,,1958,Just renovated,,4,Urban,,152,51,,Hyper equipped,,3,24,13,12,,1,,2,Yes,,,No,,407,,Connected,Yes,13,,,,,,455,E,000144378,Not specified,Not specified,Gas,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,No,"Oude zandstraat , 30",,4783391,9170 Sint-Gillis-Waas - De Klinge - Meerdonk - Sin,10,,2,313,,,,,,,,,,Yes,6,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1140,"€395,000",After signing the deed,September 1 2022 - 12:00 AM,1930,As new,5.2 m,2,"Living area (residential, urban or rural)",,158,28,Yes,Hyper equipped,24,4,23,14,23,12,1,1,1,Yes,,Yes,No,,350,,Connected,Yes,30,,,,,,473,G,20220528-0000613599-01-0,92 kg CO₂/m²,Not specified,Gas,,,,,,,,,No,,"Avenue des Cerisiers, 212",,4782849,Bruxelles Est,12,,,230,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1570,"€590,000",After signing the deed,,1989,As new,12 m,4,,,404,55,Yes,Hyper equipped,16,3,12,16,27,,1,1,2,No,,,No,Yes,1000,,Connected,No,52,No,No,No,No,No,262,C,20180828-0002085595-1,92885 kg CO₂/m²,Not specified,"Yes, conform",No,All kind,,,,,,,,No,,,,,,2,2,1000,,No,,No,Yes,Fuel oil,No,,,,148,,,36,,,,No,,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,
25,1000,"€849,000",Immediately,,1930,Good,5 m,2,Urban,,240,13,,USA installed,10,5,13,15,7,8,4,,3,,,,No,Yes,102,,Connected,No,6,No,No,Yes,,No,113,C,C+,24 kg CO₂/m²,Not specified,"Yes, conform",Yes,77,No,No,Non flood zone,,"Living area (residential, urban or rural)",,,No,Place Communale 8,,4782469,Bruxelles-Est,,,,25,,,,,,,,,,,4,,,,,Gas,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4100,"€30,000",To be defined,,1952,To be done up,7 m,2,Isolated,,140,18,Yes,Not installed,10,4,16,13,12,10,1,1,2,,,Yes,No,Yes,276,,Connected,Yes,20,No,No,,,No,388,E,20220531027042,71 kg CO₂/m²,69756 kWh/year,Gas,Yes,70,Non flood zone,,,,No,,,,,,4771746,,,1,2,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,1,75,"180 months, 15 years",Grand rue 191,,,,,,,
27,4540,"€149,500",After signing the deed,,1968,To be done up,,2,,,100,,,Semi equipped,,2,,,,,1,,1,,,Yes,No,,142,,,Yes,,,,,,,479,F,20220324006166,88 kg CO₂/m²,58547 kWh/year,No,Yes,,,,,,,,,No,"Rue des Brasseurs (Grand' Place), 1",,15575 - 111114564,,,2,,,,,,,,,,,,,,,,,,58547,,,,,,,,,,,,,,,,,,,,,,,,,,Gas,,,,,,
28,8780,"€319,000",After signing the deed,,1959,To be done up,,3,,,240,52,,Installed,18,4,24,21,17,15,1,,2,,,,No,,351,,,Yes,20,,,,,,343,D,20210710-0002439755-RES-1,Not specified,Not specified,No,Yes,Yes,,,,,,,,No,"Roterijstraat, 202",,18661 - VK 3897,,,1,2,100,,,,,,,,,,,26,,,,,Fuel oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,9600,"€370,000",After signing the deed,,2013,Good,,3,,,175,,,Installed,12,3,18,15,14,,1,,2,,,,No,,359,,,,,,,,,,101,A,20220523-0002609837-RES-1,Not specified,Not specified,No,Yes,Non flood zone,,,,,,,,No,Grote Markt 35,,18652 - VK 4049,,,1,4,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,Gas,,,,,,
30,2560,"€229,000",,,1969,To renovate,,3,,,179,27,Yes,,13,3,,,,,1,,,,,,No,No,452,,Not connected,Yes,,,,,,,969,F,2609917-RES-1,Not specified,Not specified,969,,No,,No,No,Non flood zone,"Living area (residential, urban or rural)",,No,,Fraikinstraat 7,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,No,Yes,,,,,,,,,,No,,,,,,
